2014-12-26 20:41:19 INFO  ResourceX:58 - ============================[ VOBaseMasterPage.vb -> Global.resx ]===============================
2014-12-26 20:41:20 INFO  ResourceX:102 -  (15) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuLocalization] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (16) Resource Added: FileName = [Global.es.resx] value = [default_labelForwardToFriend] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (17) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuIncome] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (18) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuIntegrations] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (19) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuAdminRights] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (20) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuReferrals] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (21) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuBookings] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (22) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuSales] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (23) Resource Added: FileName = [Global.es.resx] value = [default_labelAddBooking] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (24) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuContacts] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (25) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuSupportCenter] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (26) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuRewards] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (27) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (28) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuUsers] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:106 -  (29) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubMenuReports] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:107 -  (29) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubMenuReports] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (30) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuJobs] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:106 -  (31) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:107 -  (31) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (32) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuAddressBook] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (33) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuDashboard] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (34) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuRolesRights] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (35) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuReferrals] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (36) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuAdjustments] defaultLanguageValue = []
