2014-12-23 11:09:08 INFO  ResourceX:102 -  (8) Resource Exist: FileName = [Global.resx] value = [default_helpHighPriorityTaskToolTip] defaultLanguageValue = [My Tasks are your high priority tasks (listed first) followed by upcoming tasks that have a due date assigned.]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (9) Resource Exist: FileName = [Global.resx] value = [default_helpBlogToolTip] defaultLanguageValue = [What's New is the latest news and information from our team. Stay up to date with updates to the application as well as tips and industry news.]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (9) Resource Exist: FileName = [Global.resx] value = [default_helpBlogToolTip] defaultLanguageValue = [What's New is the latest news and information from our team. Stay up to date with updates to the application as well as tips and industry news.]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (10) Resource Exist: FileName = [Global.resx] value = [default_labelMaryKayIntouch] defaultLanguageValue = [Mary Kay InTouch]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (10) Resource Exist: FileName = [Global.resx] value = [default_labelMaryKayIntouch] defaultLanguageValue = [Mary Kay InTouch]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (11) Resource Exist: FileName = [Global.resx] value = [default_labelFlourishBlog] defaultLanguageValue = [Flourish Blog]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (11) Resource Exist: FileName = [Global.resx] value = [default_labelFlourishBlog] defaultLanguageValue = [Flourish Blog]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (12) Resource Exist: FileName = [Global.resx] value = [default_headerMyAscendLive] defaultLanguageValue = [My Ascend Live]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (12) Resource Exist: FileName = [Global.resx] value = [default_headerMyAscendLive] defaultLanguageValue = [My Ascend Live]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (13) Resource Exist: FileName = [Global.resx] value = [default_headerFullLinks] defaultLanguageValue = [We have provided some resources with useful information for running your business.]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (13) Resource Exist: FileName = [Global.resx] value = [default_headerFullLinks] defaultLanguageValue = [We have provided some resources with useful information for running your business.]
2014-12-23 11:09:08 INFO  ResourceX:56 - ============================[ Default.aspx -> Global.es.resx ]===============================
2014-12-23 11:09:08 INFO  ResourceX:101 -  (1) Resource Exist: FileName = [Global.es.resx] value = [default_labelUpcomingEvents] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (1) Resource Exist: FileName = [Global.es.resx] value = [default_labelUpcomingEvents] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (2) Resource Exist: FileName = [Global.es.resx] value = [default_labelTrendsToolTip] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (2) Resource Exist: FileName = [Global.es.resx] value = [default_labelTrendsToolTip] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (3) Resource Exist: FileName = [Global.es.resx] value = [default_labelBeautiNet] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (3) Resource Exist: FileName = [Global.es.resx] value = [default_labelBeautiNet] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (4) Resource Exist: FileName = [Global.es.resx] value = [default_labelMaryKay] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (4) Resource Exist: FileName = [Global.es.resx] value = [default_labelMaryKay] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (5) Resource Exist: FileName = [Global.es.resx] value = [default_labelImportance] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (5) Resource Exist: FileName = [Global.es.resx] value = [default_labelImportance] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (6) Resource Exist: FileName = [Global.es.resx] value = [default_labelNewVehicle] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (6) Resource Exist: FileName = [Global.es.resx] value = [default_labelNewVehicle] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (7) Resource Exist: FileName = [Global.es.resx] value = [default_headerMyAscendLive] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (7) Resource Exist: FileName = [Global.es.resx] value = [default_headerMyAscendLive] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (8) Resource Exist: FileName = [Global.es.resx] value = [default_helpHighPriorityTaskToolTip] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (8) Resource Exist: FileName = [Global.es.resx] value = [default_helpHighPriorityTaskToolTip] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:101 -  (9) Resource Exist: FileName = [Global.es.resx] value = [default_helpBlogToolTip] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:102 -  (9) Resource Exist: FileName = [Global.es.resx] value = [default_helpBlogToolTip] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:101 -  (10) Resource Exist: FileName = [Global.es.resx] value = [default_labelMaryKayIntouch] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:102 -  (10) Resource Exist: FileName = [Global.es.resx] value = [default_labelMaryKayIntouch] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:101 -  (11) Resource Exist: FileName = [Global.es.resx] value = [default_labelFlourishBlog] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:102 -  (11) Resource Exist: FileName = [Global.es.resx] value = [default_labelFlourishBlog] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:101 -  (12) Resource Exist: FileName = [Global.es.resx] value = [default_headerMyAscendLive] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:102 -  (12) Resource Exist: FileName = [Global.es.resx] value = [default_headerMyAscendLive] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:101 -  (13) Resource Exist: FileName = [Global.es.resx] value = [default_headerFullLinks] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:102 -  (13) Resource Exist: FileName = [Global.es.resx] value = [default_headerFullLinks] defaultLanguageValue = []
2014-12-23 11:09:09 INFO  ResourceX:56 - ============================[ Default.aspx.vb -> Global.resx ]===============================
2014-12-23 11:09:09 INFO  ResourceX:101 -  (1) Resource Exist: FileName = [Global.resx] value = [default_stringAtTime] defaultLanguageValue = [ at {0}]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (1) Resource Exist: FileName = [Global.resx] value = [default_stringAtTime] defaultLanguageValue = [ at {0}]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (2) Resource Exist: FileName = [Global.resx] value = [default_stringPriorotyLow] defaultLanguageValue = [Low]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (2) Resource Exist: FileName = [Global.resx] value = [default_stringPriorotyLow] defaultLanguageValue = [Low]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (3) Resource Exist: FileName = [Global.resx] value = [default_eventLinkViewContact1] defaultLanguageValue = [Birthday for <b>{2}</b> spouse of <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>.]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (3) Resource Exist: FileName = [Global.resx] value = [default_eventLinkViewContact1] defaultLanguageValue = [Birthday for <b>{2}</b> spouse of <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>.]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (4) Resource Exist: FileName = [Global.resx] value = [default_successMileageAdded] defaultLanguageValue = [Your mileage has been successfully added.]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (4) Resource Exist: FileName = [Global.resx] value = [default_successMileageAdded] defaultLanguageValue = [Your mileage has been successfully added.]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (5) Resource Exist: FileName = [Global.resx] value = [default_linkViewContact] defaultLanguageValue = [<a href=""datebook/EditAppointment.aspx?ap={3}"">{4}</a> with <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>{2}.]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (5) Resource Exist: FileName = [Global.resx] value = [default_linkViewContact] defaultLanguageValue = [<a href=""datebook/EditAppointment.aspx?ap={3}"">{4}</a> with <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>{2}.]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (6) Resource Exist: FileName = [Global.resx] value = [default_stringPriorotyMedium] defaultLanguageValue = [Medium]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (6) Resource Exist: FileName = [Global.resx] value = [default_stringPriorotyMedium] defaultLanguageValue = [Medium]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (7) Resource Exist: FileName = [Global.resx] value = [default_notifyIncomeAdded] defaultLanguageValue = [Income Added]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (7) Resource Exist: FileName = [Global.resx] value = [default_notifyIncomeAdded] defaultLanguageValue = [Income Added]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (8) Resource Exist: FileName = [Global.resx] value = [default_successTaskAdded] defaultLanguageValue = [Your task has been successfully added.]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (8) Resource Exist: FileName = [Global.resx] value = [default_successTaskAdded] defaultLanguageValue = [Your task has been successfully added.]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (9) Resource Exist: FileName = [Global.resx] value = [default_eventLinkViewContact] defaultLanguageValue = [Anniversary for <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>.]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (9) Resource Exist: FileName = [Global.resx] value = [default_eventLinkViewContact] defaultLanguageValue = [Anniversary for <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>.]
2014-12-23 11:09:09 INFO  ResourceX:101 -  (10) Resource Exist: FileName = [Global.resx] value = [default_stringRecurringAppointment] defaultLanguageValue = [Recurring appointment]
2014-12-23 11:09:09 INFO  ResourceX:102 -  (10) Resource Exist: FileName = [Global.resx] value = [default_stringRecurringAppointment] defaultLanguageValue = [Recurring appointment]
